artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Maribou State,1436885556,336,2bct5,16,Decoder Magazine,223,Wallflower,dubstep
Hellberg,1436890470,34,2caae,1,Dancing Astronaut,304,The Girl (Anevo Remix),dubstep
Dreadnought,1436812644,3,2c9sd,1,Heavy Blog Is Heavy,691,Bridging Realms,dubstep
Throwing Snow,1436868466,31,2c7b2,4,SERIALGK,277,Clasp,dubstep
Murlo,1436807684,50,28z6k,6,voluume,207,Jasmine (feat. Gemma Dunleavy),dubstep
Culprate,1436726548,10,2c9af,1,Waxhole,234,About-Face (Eventually Collections: Volume One),dubstep
SWEATSON KLANK,1436791358,6,2c9hv,1,ReqEffect,243,NIGHTCAP (XLR8R &,dubstep
The Weeknd,1436629335,2914,2c298,4,The French Shuffle,300,Can't Feel My Face (Keljet Edit),dubstep
SKEPTA,1436996147,17,2cb78,5,Exclaim!,253,Ojuelegba Remix feat. Drake & Skepta,dubstep
Digital Farm Animals,1436996196,1,2cba2,1,Caveman Sound,191,True (Le Youth Remix),dubstep
Jamie XX,1436985426,853,2c93r,8,Silver Soundz,252,Loud Places (John Talabot Remix),dubstep
SEIREN,1436992527,1,2cb8q,1,Plan My Escape,184,Helder,dubstep
The Weeknd,1436965230,23,2cay9,1,Music You Wanna Listen To,167,Can’t Feel My Face (The Him Remix),dubstep
SKEPTA,1436965241,477,29trh,21,The 405,188,SHUTDOWN,dubstep
GRiZ,1436939367,6783,2c87x,6,1833 FM,267,Summer '97 feat. Muzzy Bearr,dubstep
Disclosure,1436964573,47848,1x76v,71,Muros de Absenta,283,You & Me feat. Eliza Doolittle (Flume Remix),dubstep
Black Rabbit,1436898098,2,2caea,1,The Deli Magazine,149,Sayonara,dubstep
Disclosure,1436915227,1215,2c5m5,22,strictlysocial,394,Holding On (Julio Bashmore's Elevated Mix),dubstep
Ad noiseam,1436811569,3,2c9rm,1,I Die: You Die ,223,Highway,dubstep
Holly Waxwing,1436458140,2,2c83w,1,Portals,208,Peach Winks,dubstep
Troy Gunner,1436479456,17,2c7t4,2,ERRANT,307,Playin',dubstep
Lurka,1436444528,3,2c7zn,1,The Quietus,325,Mach (Black Acre),dubstep
Mokona,1436455784,8,2bxrw,2,Insert,500,Breathless (TS010),dubstep
Ambassadeurs,1436443007,47,2c241,4,Indie UK,247,Looking At You (feat. C Duncan),dubstep
Ambassadeurs,1436442993,81,2anay,7,Indie UK,322,My Way,dubstep
Ambassadeurs,1436443003,95,2bf15,6,Indie UK,245,Breathe (feat. Folly Rae),dubstep
Mura Masa,1436394177,404,2an63,7,ilictronix,160,1. Are U There,dubstep
Ambassadeurs,1436442997,142,2b5v4,9,Indie UK,297,Crimson,dubstep
Peking Duk,1436576431,135,2c8ed,4,Idolator,187,Say My Name (feat. Benjamin Joseph),dubstep
Ike Release,1436623662,15,2bse8,6,XLR8R,570,Dance Equations (SMRT001 clips),dubstep
Sweatson KlanK,1436555273,6,2c8v9,1,XLR8R,243,Nightcap,dubstep
Zedd,1436562501,83,2c8xp,1,Cause=Time,242,Beautiful Now (Social Status Remix),dubstep
Yung,1436544013,56,2baaj,15,Niche Music,178,Blanket,dubstep
Koven,1436545782,10,2c8qx,1,Free Breaks Blog,269,From The Start,dubstep
Danny Scrilla,1436530886,11,2bq72,2,The Walk to Work,239,Free Flight (feat. Om Unit),dubstep
Yung,1436544017,17,2c86s,10,Niche Music,274,Burning Bodies,dubstep
Synkro,1436499742,30,2c6rr,6,Northern Transmissions,356,Changes,dubstep
Indian Wells,1436517755,11,2c8gw,1,The Ransom Note ,332,Changes (Twos Remix),dubstep
LV,1436451675,13,2c57n,4,Genre Confused,267,Jump And Reach,dubstep
Lockah,1436312316,7,2c734,1,Music Like Dirt,193,Barcelona Linn Reprise,dubstep
Sbtrkt,1436334144,12,2c76f,1,THE VINYL VILLAIN,232,Sanctuary (feat. Jessie Ware and Sampha),dubstep
The Weeknd,1436296920,48,2c6yb,1,Audio Aquarium,195,Can't Feel My Face (Airia Remix),dubstep
TJH87,1436297294,669,2bgx3,8,Sonofmarketing,205,Lost Into The Night (Feat. Guy Brown),dubstep
J-Louis,1436194281,3,2c64q,1,HUNGRY DRUMS,195,Looking Forward,dubstep
cut,1436194235,0,2c64d,1,The Walk to Work,328,Winter Solo,dubstep
J-Louis,1436194284,11,2b2x4,2,HUNGRY DRUMS,196,A NIGHT OFF ( J-LOUIS X DREWSTHATDUDE ),dubstep
Disclosure,1436147351,34,2c5xb,1,Minted,341,Bang That (Don Rimini Chicago Version),dubstep
Vaski,1436187012,5,2c626,1,First Ear,244,3AM (Swindail Remix),dubstep
TISOKI,1436378034,21,2c7hh,1,robot dance music,192,PONY (TISOKI REFIX),dubstep
Zedd,1436382850,158,2c7kt,1,Dancing Astronaut,255,Beautiful Now (Charlie Darker Remix),dubstep
Vaski,1436378055,8,2c7hn,1,robot dance music,239,3AM (JiKay Remix),dubstep
liquid stranger,1436378030,11,2c7hg,1,robot dance music,323,Bend,dubstep
Holly Waxwing,1436370322,5,2c7eh,1,Tiny Mix Tapes,891,Flirt (Micromix),dubstep
Skepta,1436370333,1438,2c4t1,10,The Ransom Note ,169,Back Then (Plastician Production),dubstep
Moniker,1436368209,2,2c7dw,1,Don't Need No Melody,457,Be,dubstep
Youandewan,1436369321,5,2c7e6,1,THUMP,354,Verloren,dubstep
Sbtrkt,1436334163,17,2c76k,1,THE VINYL VILLAIN,207,Hold On (feat. Sampha),dubstep
Sbtrkt,1436334139,3,2c76e,1,THE VINYL VILLAIN,174,Heatwave,dubstep
The Weeknd,1436237783,45,2c6g3,1,SoulBounce,213,Can't Feel My Face (Kero Uno Remix),dubstep
Jafu,1435871696,6,2c51d,1,A Grumpy Old Man With A Beard,392,Get On Track (Jafu's Pay Attention VIP),dubstep
The Weeknd,1435908508,37,2c55f,1,SERIALGK,215,Earned It (Minorstep Remix feat. WESINK),dubstep
Dark Sky,1435856418,14,2c4s2,2,Human Drizzle,339,Voyages (Francis Inferno Orchestra remix),dubstep
Dark0,1435863450,28,2bj61,8,music is art,205,The Past,dubstep
Ambassadeurs,1435784832,73,28dnq,5,THUMP,294,Forever,dubstep
PRIME,1435775743,25,2c4ba,1,gottadancedirty,289,NAS | LIFES A BITCH (Zander Remix),dubstep
Mr FijiWiji,1435785703,21,2c4f8,1,Inyourspeakers Media,292,Aphasia,dubstep
Disclosure,1435756539,284,2br2y,2,Cause=Time,250,Holding On Feat. Gregory Porter (C&T Remix),dubstep
Zedd,1435771304,129,2c49m,1,robot dance music,270,I Want You To Know (Megaphonix Remix),dubstep
Moody Good,1436131287,7,2c5w1,1,Waxhole,155,Witness The Fuxness (NEST050),dubstep
Kastle,1436145742,133,1m1e4,5,music is art,189,Stay Forever,dubstep
Bridge,1436056088,52,2c5q7,1,Future Classics,215,Roll My Weed (feat. ScHoolboy Q) (Dave Luxe Remix),dubstep
Jamie XX,1436132965,40,2c5w8,1,The Jackplug,335,Loud Places Feat. Romy (Island Riot Edit),dubstep
Dillon Francis,1436052087,2979,2c2wx,6,Waxhole,193,Bruk Bruk (I Need Your Lovin),dubstep
The Weeknd,1436052126,496,2c5fh,2,Different Kitchen,217,Can't Feel My Face (JayKode Remix),dubstep
Oliver Heldens,1436016492,150,2c5kn,1,Music You Wanna Listen To,321,(Gecko) Overdrive (Kush Push Remix),dubstep
SCOUT!,1436031727,18,2c5nm,1,Waxhole,254,Alki,dubstep
Breakage,1435924565,9,2c581,1,What Else Is There?,228,Vellocet (B.Traits Radio Rip),dubstep
SubtomiK,1435950425,24,2c5e5,1,Teenage Ears,226,The Hills (SubtomiK & Alo Lee Cover),dubstep
Two Can,1435789722,78,2c19e,6,Caveman Sound,244,Pressing On feat. Erin Marshall,dubstep
Boddika & Joy Orbison,1435400892,17,2c2d6,1,Indie Shuffle,386,TMTT,dubstep
TJH87,1435444511,28,2c29g,2,The French Shuffle,242,Lost Into The Night (Feat. Guy Brown) (Pwndtiac Remix),dubstep
Skepta,1435350670,10,2c29t,1,Cause=Time,196,That's Not Me (Cralias Remix),dubstep
DOSVEC,1435350683,23,2c29v,1,Cause=Time,259,Blame The Jam (Calvin Harris feat. John Newman vs Kideko),dubstep
Dfalt,1435339698,12,2c25z,1,REDEFINE magazine,234,A Few Began To Smoke,dubstep
Squarewave,1435310892,1,2c1yn,1,COMO LAS GRECAS,140,Droids,dubstep
Squarewave,1435310896,2,2c1yp,1,COMO LAS GRECAS,140,Flying Boats,dubstep
Aquadrop,1435273684,28,2c1th,1,Maddecent,192,On Fire (JEFF094),dubstep
Squarewave,1435310886,2,2c1ym,1,COMO LAS GRECAS,140,Flying Boats (Damon Jee Remix),dubstep
Lowki,1435686593,107,2c1ye,6,Sound Injections,225,F.A.C.E,dubstep
The Weeknd,1435705625,51,2c3wb,1,robot dance music,213,Can't Feel My Face (JayKode Remix),dubstep
Lapalux,1435628992,3594,29q40,25,music is art,349,Don't Mean A Thing,dubstep
Just A Gent,1435636820,26,2c3cn,1,Pilerats,183,Pure Imagination,dubstep
Gacha,1435610155,13,2c38r,1,electric sound of joy,255,You Belong,dubstep
O2i3,1435620509,6,2c3b4,1,Make Believe Melodies,150,Dollfie Dream,dubstep
Vision,1435576450,5,2c2ye,1,Word Is Bond,232,What You Heard (Prod. Deafh Beats),dubstep
GEMINI,1435618579,3,2c3ah,1,LOCAL SUICIDE,187,GODDESSMEDUZV,dubstep
Deadboy,1435506804,18,2aqk0,4,Ants in My Trance,317,White Moon Garden,dubstep
Burial,1435506809,43,29100,2,Ants in My Trance,398,Temple Sleeper,dubstep
Dfalt,1435339703,27,2bhvg,2,REDEFINE magazine,285,Sunrise Soldier,dubstep
Danny Scrilla,1435145319,3,2c0q3,1,Clash Magazine,276,Jello,dubstep
Adventure Club,1435152067,199,2c0s1,1,Yaqui,293,Wonder (Proppa Remix) //,dubstep
Crywolf,1435128126,12,2c0mf,1,Waxhole,208,Shrike,dubstep
Crywolf,1435128129,11,2c0mg,1,Waxhole,347,Stomach It,dubstep
Ambassadeurs,1435096190,28,2bxr9,2,Brighton Music Blog,270,Seconds,dubstep
Dillon Francis,1435079669,246,27hq2,2,Inyourspeakers Media,242,Not Butter,dubstep
floating points,1435081396,351,2814g,20,Chicago Reader,716,Nuits Sonores,dubstep
Jamie xx,1435076941,3002,2arpy,12,When We Dip,291,Loud Places (feat. Romy) (Eekkoo Edit),dubstep
Said The Sky,1435082415,121,2btzn,2,Dancing Astronaut,201,Book Of Us (feat. Mothica),dubstep
Doorly,1435242106,12,2c1f0,1,House of Lords,250,Groove Me,dubstep
Coyote Kisses,1435276810,47,2c1v2,1,Dancing Astronaut,225,Sunny Day (Paperwater Remix),dubstep
bretonlabs,1435221737,1819,20eh0,31,Stereofox,217,ENVY,dubstep
Caspa,1435230039,13,2c1c1,1,Mixmag,228,Drum Stick Lick,dubstep
Buku,1435192952,34,2c16s,1,Muros de Absenta,249,Laugh Track (NEST053),dubstep
RUDI ZYGADLO,1435194879,19,2bwtm,2,acid stag,233,Black Bile,dubstep
Indian Wells,1435184904,17,2bkz2,3,Brighton Music Blog,265,Games In The Yard (feat. Matilde Davoli)(Ital Tek Absolut Remix),dubstep
PURPLE,1435186182,30,2bwrc,5,Sonofmarketing,273,Let Me Stay,dubstep
Manni Dee,1435154219,5,2c0sw,1,The Quietus,323,I Was Desire,dubstep
Andrea,1435162943,26,2byn1,2,blahblahblahscience,234,Down feat. Vanessa Elisha,dubstep
Dual,1435112046,3,2c0jd,1,Darmstadt,208,Depth / Demo,dubstep
J-Louis,1434753321,34,2btap,3,Hearing Gold,142,STAY ( J-LOUIS ),dubstep
